date,1M,2M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
02/10/21,0.05,0.04,0.05,0.06,0.07,0.11,0.19,0.46,0.80,1.15,1.75,1.92
02/11/21,0.05,0.05,0.05,0.06,0.07,0.11,0.19,0.46,0.81,1.16,1.77,1.94
02/12/21,0.03,0.04,0.04,0.05,0.06,0.11,0.20,0.50,0.85,1.20,1.83,2.01
02/16/21,0.03,0.04,0.04,0.06,0.08,0.13,0.23,0.57,0.94,1.30,1.92,2.08
02/17/21,0.03,0.04,0.04,0.06,0.07,0.11,0.21,0.57,0.94,1.29,1.92,2.06
02/18/21,0.03,0.03,0.03,0.04,0.06,0.11,0.21,0.56,0.94,1.29,1.91,2.08
02/19/21,0.03,0.03,0.04,0.06,0.07,0.11,0.22,0.59,0.98,1.34,1.98,2.14
02/22/21,0.03,0.02,0.03,0.04,0.06,0.11,0.22,0.61,1.00,1.37,2.02,2.19
02/23/21,0.03,0.02,0.04,0.05,0.08,0.11,0.22,0.59,1.00,1.37,2.03,2.21
02/24/21,0.03,0.03,0.03,0.05,0.08,0.12,0.24,0.62,1.02,1.38,2.07,2.24
02/25/21,0.04,0.03,0.04,0.06,0.09,0.17,0.34,0.81,1.23,1.54,2.25,2.33
02/26/21,0.04,0.04,0.04,0.05,0.08,0.14,0.30,0.75,1.15,1.44,2.08,2.17
03/01/21,0.03,0.03,0.05,0.07,0.08,0.13,0.27,0.71,1.12,1.45,2.11,2.23
03/02/21,0.04,0.04,0.04,0.06,0.08,0.13,0.26,0.67,1.08,1.42,2.09,2.21
03/03/21,0.04,0.04,0.05,0.07,0.08,0.14,0.29,0.73,1.14,1.47,2.12,2.25
03/04/21,0.03,0.05,0.04,0.07,0.08,0.14,0.32,0.77,1.21,1.54,2.18,2.30
03/05/21,0.04,0.04,0.04,0.07,0.08,0.14,0.32,0.79,1.23,1.56,2.18,2.28
03/08/21,0.04,0.04,0.05,0.06,0.09,0.17,0.34,0.86,1.28,1.59,2.20,2.31
03/09/21,0.04,0.04,0.05,0.07,0.10,0.17,0.35,0.83,1.23,1.55,2.16,2.26
03/10/21,0.03,0.03,0.04,0.06,0.08,0.16,0.32,0.80,1.20,1.53,2.15,2.24
03/11/21,0.04,0.04,0.04,0.05,0.08,0.14,0.31,0.78,1.20,1.54,2.18,2.29
03/12/21,0.03,0.03,0.04,0.06,0.09,0.14,0.34,0.85,1.30,1.64,2.31,2.40
03/15/21,0.02,0.02,0.04,0.06,0.08,0.14,0.33,0.84,1.28,1.62,2.27,2.37
03/16/21,0.01,0.02,0.02,0.06,0.07,0.15,0.33,0.83,1.28,1.62,2.30,2.38
03/17/21,0.01,0.02,0.02,0.05,0.07,0.13,0.29,0.80,1.27,1.63,2.32,2.42
03/18/21,0.01,0.01,0.01,0.03,0.08,0.16,0.33,0.86,1.35,1.71,2.36,2.45
03/19/21,0.01,0.01,0.01,0.03,0.07,0.16,0.33,0.90,1.38,1.74,2.36,2.45
03/22/21,0.02,0.02,0.03,0.05,0.06,0.15,0.32,0.87,1.34,1.69,2.29,2.38
03/23/21,0.02,0.02,0.01,0.04,0.08,0.15,0.31,0.83,1.29,1.63,2.24,2.34
03/24/21,0.02,0.02,0.02,0.04,0.07,0.14,0.31,0.83,1.27,1.62,2.21,2.31
03/25/21,0.02,0.03,0.02,0.04,0.07,0.14,0.30,0.82,1.29,1.63,2.24,2.34
03/26/21,0.02,0.02,0.02,0.04,0.06,0.14,0.31,0.85,1.32,1.67,2.27,2.37
03/29/21,0.02,0.03,0.03,0.04,0.06,0.14,0.32,0.89,1.37,1.73,2.32,2.43
03/30/21,0.01,0.01,0.02,0.04,0.06,0.16,0.33,0.90,1.39,1.73,2.29,2.38
03/31/21,0.01,0.01,0.03,0.05,0.07,0.16,0.35,0.92,1.40,1.74,2.31,2.41
04/01/21,0.02,0.02,0.02,0.04,0.06,0.17,0.35,0.90,1.37,1.69,2.24,2.34
04/02/21,0.02,0.02,0.02,0.04,0.07,0.19,0.39,0.97,1.42,1.72,2.27,2.35
04/05/21,0.03,0.02,0.03,0.04,0.06,0.17,0.37,0.94,1.40,1.73,2.28,2.36
04/06/21,0.02,0.02,0.02,0.04,0.06,0.16,0.35,0.88,1.34,1.67,2.24,2.32
04/07/21,0.01,0.02,0.02,0.04,0.06,0.16,0.34,0.87,1.34,1.68,2.26,2.35
04/08/21,0.02,0.02,0.01,0.04,0.05,0.14,0.33,0.85,1.30,1.64,2.22,2.32
04/09/21,0.02,0.01,0.02,0.03,0.06,0.16,0.35,0.87,1.33,1.67,2.23,2.34
04/12/21,0.02,0.02,0.02,0.04,0.06,0.18,0.38,0.89,1.35,1.69,2.24,2.34
04/13/21,0.03,0.02,0.03,0.05,0.06,0.16,0.35,0.85,1.29,1.64,2.21,2.32
04/14/21,0.02,0.02,0.02,0.04,0.06,0.16,0.35,0.87,1.31,1.64,2.22,2.32
04/15/21,0.02,0.01,0.02,0.04,0.06,0.16,0.32,0.81,1.24,1.56,2.13,2.23
04/16/21,0.02,0.02,0.02,0.04,0.06,0.16,0.34,0.84,1.26,1.59,2.15,2.26
04/19/21,0.01,0.02,0.02,0.04,0.08,0.16,0.34,0.85,1.28,1.61,2.18,2.29
04/20/21,0.01,0.02,0.03,0.04,0.07,0.15,0.31,0.81,1.25,1.58,2.16,2.27
04/21/21,0.00,0.02,0.03,0.04,0.07,0.15,0.32,0.81,1.24,1.57,2.16,2.26
04/22/21,0.02,0.02,0.03,0.04,0.06,0.16,0.32,0.81,1.24,1.57,2.13,2.24
04/23/21,0.01,0.02,0.03,0.03,0.07,0.16,0.34,0.83,1.26,1.58,2.14,2.25
04/26/21,0.02,0.02,0.03,0.04,0.06,0.18,0.35,0.85,1.27,1.58,2.13,2.24
04/27/21,0.01,0.02,0.01,0.04,0.06,0.17,0.36,0.88,1.32,1.63,2.18,2.29
04/28/21,0.01,0.01,0.01,0.04,0.05,0.17,0.35,0.86,1.31,1.63,2.19,2.29
04/29/21,0.01,0.01,0.01,0.04,0.05,0.16,0.35,0.86,1.32,1.65,2.20,2.31
04/30/21,0.01,0.02,0.01,0.03,0.05,0.16,0.35,0.86,1.32,1.65,2.19,2.30
05/03/21,0.02,0.02,0.04,0.04,0.06,0.16,0.33,0.84,1.29,1.63,2.18,2.30
05/04/21,0.01,0.01,0.02,0.04,0.06,0.16,0.33,0.82,1.28,1.61,2.16,2.27
05/05/21,0.01,0.01,0.02,0.04,0.06,0.16,0.32,0.80,1.25,1.59,2.14,2.25
05/06/21,0.01,0.02,0.02,0.04,0.05,0.16,0.32,0.81,1.25,1.58,2.14,2.24
05/07/21,0.01,0.01,0.02,0.04,0.05,0.14,0.29,0.77,1.24,1.60,2.17,2.28
05/10/21,0.02,0.01,0.02,0.04,0.05,0.16,0.32,0.80,1.27,1.63,2.20,2.32
05/11/21,0.01,0.01,0.01,0.04,0.05,0.16,0.31,0.80,1.28,1.64,2.23,2.35
05/12/21,0.01,0.02,0.02,0.04,0.05,0.16,0.35,0.87,1.34,1.69,2.29,2.40
05/13/21,0.00,0.01,0.02,0.03,0.05,0.16,0.33,0.84,1.31,1.66,2.28,2.39
05/14/21,0.01,0.01,0.01,0.03,0.06,0.16,0.33,0.82,1.29,1.63,2.25,2.35
05/17/21,0.00,0.01,0.02,0.04,0.06,0.16,0.34,0.84,1.30,1.64,2.27,2.36
05/18/21,0.00,0.01,0.02,0.03,0.06,0.16,0.34,0.83,1.29,1.64,2.27,2.37
05/19/21,0.00,0.01,0.01,0.03,0.05,0.16,0.35,0.87,1.34,1.68,2.30,2.38
05/20/21,0.01,0.01,0.01,0.03,0.05,0.15,0.34,0.83,1.29,1.63,2.25,2.34
05/21/21,0.00,0.01,0.01,0.02,0.04,0.17,0.34,0.84,1.29,1.63,2.24,2.33
05/24/21,0.01,0.01,0.02,0.03,0.04,0.15,0.32,0.82,1.28,1.61,2.22,2.31
05/25/21,0.01,0.01,0.02,0.04,0.04,0.15,0.30,0.79,1.23,1.56,2.16,2.26
05/26/21,0.00,0.00,0.02,0.04,0.04,0.14,0.31,0.80,1.24,1.58,2.17,2.27
05/27/21,0.00,0.01,0.02,0.04,0.04,0.14,0.31,0.81,1.28,1.61,2.20,2.29
05/28/21,0.01,0.01,0.01,0.03,0.05,0.14,0.30,0.79,1.24,1.58,2.18,2.26
06/01/21,0.01,0.01,0.02,0.04,0.04,0.16,0.31,0.81,1.28,1.62,2.22,2.30
06/02/21,0.01,0.01,0.02,0.04,0.05,0.13,0.30,0.80,1.26,1.59,2.21,2.28
06/03/21,0.00,0.01,0.02,0.04,0.04,0.16,0.34,0.84,1.30,1.63,2.22,2.30
06/04/21,0.01,0.02,0.02,0.04,0.05,0.14,0.32,0.78,1.23,1.56,2.16,2.24
06/07/21,0.01,0.02,0.02,0.04,0.05,0.16,0.33,0.79,1.24,1.57,2.17,2.25
06/08/21,0.01,0.02,0.02,0.04,0.05,0.14,0.32,0.77,1.20,1.53,2.13,2.21
06/09/21,0.01,0.02,0.03,0.04,0.05,0.16,0.31,0.75,1.17,1.50,2.10,2.17
06/10/21,0.01,0.02,0.03,0.04,0.05,0.14,0.30,0.73,1.14,1.45,2.07,2.15
06/11/21,0.01,0.02,0.03,0.04,0.05,0.16,0.31,0.76,1.16,1.47,2.08,2.15
06/14/21,0.01,0.02,0.03,0.05,0.05,0.16,0.33,0.80,1.20,1.51,2.12,2.19
06/15/21,0.02,0.02,0.03,0.05,0.08,0.16,0.34,0.79,1.21,1.51,2.12,2.20
06/16/21,0.04,0.04,0.04,0.06,0.08,0.21,0.41,0.89,1.29,1.57,2.13,2.20
06/17/21,0.05,0.04,0.04,0.06,0.08,0.23,0.43,0.90,1.27,1.52,2.05,2.11
06/18/21,0.05,0.05,0.05,0.06,0.09,0.26,0.47,0.89,1.22,1.45,1.97,2.01
06/21/21,0.04,0.04,0.05,0.06,0.09,0.27,0.48,0.90,1.25,1.50,2.05,2.11
06/22/21,0.04,0.05,0.04,0.06,0.09,0.25,0.44,0.87,1.23,1.48,2.03,2.10
06/23/21,0.04,0.04,0.05,0.05,0.08,0.26,0.47,0.90,1.25,1.50,2.04,2.11
06/24/21,0.05,0.05,0.05,0.05,0.08,0.26,0.48,0.90,1.26,1.49,2.03,2.10
06/25/21,0.05,0.05,0.06,0.06,0.09,0.28,0.48,0.92,1.29,1.54,2.09,2.16
06/28/21,0.04,0.05,0.05,0.06,0.08,0.25,0.47,0.90,1.25,1.49,2.04,2.10
06/29/21,0.04,0.04,0.04,0.06,0.08,0.27,0.47,0.89,1.24,1.49,2.03,2.10
06/30/21,0.05,0.05,0.05,0.06,0.07,0.25,0.46,0.87,1.21,1.45,2.00,2.06
07/01/21,0.05,0.05,0.05,0.05,0.09,0.25,0.47,0.89,1.24,1.48,2.01,2.07
07/02/21,0.05,0.05,0.05,0.05,0.08,0.24,0.45,0.86,1.19,1.44,1.98,2.05
07/06/21,0.05,0.05,0.05,0.06,0.07,0.22,0.42,0.81,1.13,1.37,1.92,2.00
07/07/21,0.05,0.05,0.05,0.05,0.08,0.22,0.41,0.79,1.09,1.33,1.87,1.94
07/08/21,0.06,0.05,0.06,0.06,0.07,0.19,0.37,0.74,1.06,1.30,1.84,1.91
07/09/21,0.06,0.05,0.06,0.05,0.08,0.23,0.41,0.79,1.12,1.37,1.91,1.99
07/12/21,0.05,0.05,0.05,0.06,0.08,0.23,0.43,0.81,1.13,1.38,1.93,2.00
07/13/21,0.05,0.05,0.05,0.06,0.08,0.26,0.47,0.85,1.16,1.42,1.96,2.04
07/14/21,0.06,0.05,0.06,0.05,0.08,0.23,0.44,0.80,1.11,1.37,1.91,1.98
07/15/21,0.05,0.05,0.05,0.05,0.07,0.23,0.43,0.78,1.07,1.31,1.85,1.92
07/16/21,0.05,0.05,0.05,0.05,0.08,0.25,0.43,0.79,1.08,1.31,1.86,1.93
07/19/21,0.05,0.05,0.05,0.06,0.07,0.21,0.38,0.70,0.97,1.19,1.74,1.81
07/20/21,0.05,0.05,0.05,0.06,0.08,0.20,0.37,0.69,0.98,1.23,1.79,1.88
07/21/21,0.04,0.04,0.05,0.05,0.07,0.22,0.39,0.74,1.05,1.30,1.87,1.94
07/22/21,0.04,0.04,0.05,0.05,0.07,0.20,0.37,0.71,1.02,1.27,1.82,1.90
07/23/21,0.05,0.05,0.05,0.05,0.07,0.22,0.38,0.72,1.04,1.30,1.85,1.92
07/26/21,0.05,0.05,0.05,0.06,0.08,0.22,0.38,0.73,1.04,1.29,1.85,1.93
07/27/21,0.04,0.05,0.05,0.05,0.07,0.20,0.37,0.71,1.01,1.25,1.81,1.89
07/28/21,0.04,0.05,0.05,0.05,0.07,0.20,0.38,0.72,1.01,1.26,1.83,1.90
07/29/21,0.05,0.05,0.06,0.05,0.08,0.20,0.37,0.73,1.04,1.28,1.84,1.91
07/30/21,0.05,0.05,0.06,0.05,0.07,0.19,0.35,0.69,1.00,1.24,1.81,1.89
08/02/21,0.05,0.05,0.05,0.06,0.07,0.17,0.33,0.66,0.96,1.20,1.77,1.86
08/03/21,0.05,0.05,0.05,0.06,0.07,0.17,0.33,0.65,0.95,1.19,1.76,1.85
08/04/21,0.05,0.05,0.05,0.05,0.07,0.17,0.34,0.67,0.96,1.19,1.74,1.83
08/05/21,0.05,0.05,0.05,0.06,0.08,0.21,0.38,0.72,1.01,1.23,1.77,1.86
08/06/21,0.04,0.05,0.06,0.06,0.09,0.21,0.42,0.77,1.07,1.31,1.85,1.94
08/09/21,0.04,0.05,0.06,0.06,0.08,0.23,0.43,0.79,1.09,1.33,1.87,1.96
08/10/21,0.05,0.05,0.05,0.05,0.08,0.24,0.47,0.82,1.12,1.36,1.90,1.99
08/11/21,0.05,0.05,0.05,0.06,0.08,0.23,0.45,0.81,1.11,1.35,1.90,1.99
08/12/21,0.05,0.06,0.06,0.06,0.09,0.23,0.46,0.83,1.13,1.36,1.92,2.03
08/13/21,0.04,0.05,0.06,0.05,0.08,0.23,0.44,0.79,1.08,1.29,1.85,1.94
08/16/21,0.04,0.05,0.06,0.05,0.08,0.21,0.42,0.75,1.04,1.26,1.82,1.92
08/17/21,0.03,0.05,0.07,0.06,0.07,0.23,0.43,0.77,1.05,1.26,1.82,1.92
08/18/21,0.03,0.05,0.07,0.05,0.07,0.23,0.43,0.79,1.06,1.27,1.84,1.91
08/19/21,0.04,0.05,0.06,0.05,0.06,0.22,0.44,0.78,1.04,1.24,1.80,1.88
08/20/21,0.04,0.05,0.05,0.05,0.06,0.23,0.44,0.80,1.06,1.26,1.79,1.87
08/23/21,0.04,0.05,0.05,0.06,0.07,0.23,0.43,0.78,1.05,1.25,1.79,1.87
08/24/21,0.03,0.05,0.05,0.05,0.06,0.24,0.44,0.80,1.08,1.29,1.83,1.91
08/25/21,0.04,0.05,0.06,0.06,0.07,0.23,0.47,0.84,1.13,1.35,1.88,1.96
08/26/21,0.04,0.06,0.05,0.06,0.07,0.25,0.46,0.84,1.13,1.34,1.87,1.94
08/27/21,0.04,0.06,0.05,0.05,0.07,0.22,0.41,0.79,1.09,1.31,1.84,1.91
08/30/21,0.04,0.07,0.05,0.05,0.08,0.20,0.40,0.77,1.07,1.29,1.82,1.90
08/31/21,0.03,0.05,0.04,0.06,0.07,0.20,0.40,0.77,1.08,1.30,1.85,1.92
09/01/21,0.04,0.06,0.05,0.06,0.07,0.20,0.42,0.78,1.08,1.31,1.84,1.92
09/02/21,0.05,0.07,0.05,0.06,0.07,0.20,0.42,0.78,1.07,1.29,1.83,1.90
09/03/21,0.04,0.07,0.05,0.05,0.08,0.21,0.42,0.78,1.09,1.33,1.87,1.94
09/07/21,0.04,0.07,0.05,0.06,0.08,0.22,0.45,0.82,1.14,1.38,1.91,1.99
09/08/21,0.05,0.06,0.05,0.06,0.08,0.22,0.43,0.81,1.11,1.35,1.88,1.95
09/09/21,0.07,0.06,0.04,0.05,0.07,0.23,0.43,0.79,1.08,1.30,1.83,1.90
09/10/21,0.06,0.06,0.05,0.06,0.08,0.23,0.45,0.82,1.12,1.35,1.86,1.94
09/13/21,0.06,0.08,0.06,0.06,0.07,0.21,0.44,0.81,1.11,1.33,1.83,1.91
09/14/21,0.05,0.06,0.04,0.05,0.07,0.21,0.43,0.79,1.07,1.28,1.78,1.85
09/15/21,0.04,0.06,0.04,0.05,0.07,0.21,0.43,0.81,1.10,1.31,1.80,1.87
09/16/21,0.06,0.06,0.04,0.05,0.07,0.23,0.46,0.84,1.13,1.34,1.83,1.88
09/17/21,0.06,0.06,0.04,0.05,0.07,0.23,0.47,0.88,1.17,1.37,1.85,1.91
09/20/21,0.06,0.05,0.04,0.05,0.07,0.23,0.45,0.83,1.12,1.31,1.79,1.85
09/21/21,0.05,0.04,0.03,0.04,0.07,0.22,0.46,0.84,1.13,1.33,1.81,1.86
09/22/21,0.04,0.04,0.03,0.05,0.08,0.25,0.48,0.86,1.13,1.32,1.78,1.84
09/23/21,0.05,0.04,0.03,0.04,0.08,0.27,0.53,0.94,1.22,1.41,1.87,1.92
09/24/21,0.06,0.04,0.03,0.05,0.08,0.29,0.55,0.97,1.27,1.47,1.94,1.99
09/27/21,0.06,0.03,0.04,0.05,0.09,0.31,0.56,0.98,1.30,1.48,1.95,1.99
09/28/21,0.07,0.04,0.04,0.06,0.09,0.31,0.55,1.02,1.34,1.54,2.02,2.07
09/29/21,0.05,0.04,0.04,0.05,0.09,0.30,0.55,1.01,1.34,1.55,2.04,2.09
09/30/21,0.07,0.05,0.04,0.05,0.09,0.28,0.53,0.98,1.32,1.52,2.02,2.08
10/01/21,0.08,0.04,0.04,0.05,0.09,0.27,0.49,0.93,1.26,1.48,1.99,2.04
10/04/21,0.09,0.04,0.04,0.06,0.09,0.27,0.52,0.95,1.27,1.49,1.99,2.05
10/05/21,0.10,0.04,0.04,0.06,0.09,0.28,0.54,0.98,1.32,1.54,2.04,2.10
10/06/21,0.06,0.04,0.04,0.06,0.10,0.30,0.55,0.99,1.32,1.53,2.02,2.08
10/07/21,0.03,0.09,0.05,0.06,0.10,0.32,0.57,1.02,1.36,1.58,2.08,2.13
10/08/21,0.02,0.07,0.05,0.07,0.09,0.32,0.59,1.05,1.39,1.61,2.11,2.16
10/12/21,0.03,0.07,0.06,0.06,0.10,0.35,0.64,1.08,1.39,1.59,2.05,2.10
10/13/21,0.03,0.06,0.05,0.06,0.11,0.37,0.66,1.09,1.38,1.56,2.00,2.05
10/14/21,0.05,0.08,0.05,0.06,0.10,0.36,0.62,1.05,1.34,1.52,1.97,2.02
10/15/21,0.04,0.08,0.05,0.06,0.12,0.41,0.70,1.13,1.42,1.59,2.02,2.05
10/18/21,0.05,0.09,0.06,0.06,0.11,0.44,0.72,1.16,1.43,1.59,1.99,2.01
10/19/21,0.06,0.09,0.05,0.06,0.11,0.41,0.71,1.17,1.47,1.65,2.07,2.09
10/20/21,0.06,0.07,0.05,0.06,0.10,0.40,0.70,1.16,1.46,1.65,2.09,2.12
10/21/21,0.06,0.08,0.06,0.06,0.12,0.45,0.78,1.23,1.52,1.68,2.10,2.13
10/22/21,0.05,0.09,0.06,0.07,0.13,0.48,0.79,1.22,1.49,1.66,2.06,2.08
10/25/21,0.07,0.10,0.06,0.06,0.14,0.47,0.76,1.19,1.47,1.64,2.07,2.09
10/26/21,0.06,0.08,0.06,0.06,0.14,0.47,0.77,1.20,1.46,1.63,2.03,2.05
10/27/21,0.06,0.07,0.06,0.07,0.12,0.50,0.77,1.16,1.41,1.54,1.93,1.95
10/28/21,0.06,0.10,0.06,0.06,0.15,0.50,0.77,1.18,1.44,1.57,1.98,1.96
10/29/21,0.06,0.08,0.05,0.07,0.15,0.48,0.75,1.18,1.44,1.55,1.98,1.93
